filepath,filename,latitude,longitude,cluster,split
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/182f11527eb8f35f4a20bb4dc1dde422d98c649b.JPG,182f11527eb8f35f4a20bb4dc1dde422d98c649b.JPG,22.693396194,114.195025417,0,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/2d0cde7fa4d8f92be71952e5b575850b444b4a2e.JPG,2d0cde7fa4d8f92be71952e5b575850b444b4a2e.JPG,22.693329250,114.193522000,8,test
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/37416cabdff3705b6b9b63ac21481b8a54b58bd7.JPG,37416cabdff3705b6b9b63ac21481b8a54b58bd7.JPG,22.691135639,114.197679444,9,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/3c70885c373d806e397282c7cdbedd24bab139af.JPG,3c70885c373d806e397282c7cdbedd24bab139af.JPG,22.691469639,114.196210472,3,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/15444f9b914028197555ed48678dbb809c908152.JPG,15444f9b914028197555ed48678dbb809c908152.JPG,22.694810889,114.192772722,8,test
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/dba545633435724c534e985f380d9f8b4348a330.JPG,dba545633435724c534e985f380d9f8b4348a330.JPG,22.690061111,114.195360417,5,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/9c85f8ad91de1e6e92a4f44d6594e8b528d896a5.JPG,9c85f8ad91de1e6e92a4f44d6594e8b528d896a5.JPG,22.691154306,114.198122694,9,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/ad7e4cdfd7909cca4627410ebf51a90dadc7e5aa.JPG,ad7e4cdfd7909cca4627410ebf51a90dadc7e5aa.JPG,22.692725083,114.195404528,0,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/1ba1e00b5587ce1709b4c9b132b1f9b047298495.JPG,1ba1e00b5587ce1709b4c9b132b1f9b047298495.JPG,22.694959722,114.196695000,4,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/ba1413a5266776b50d9ed20cae90cdca8e1eb680.JPG,ba1413a5266776b50d9ed20cae90cdca8e1eb680.JPG,22.693784194,114.194905694,0,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/87b1721bd2ab3c1af4199fdb97af983324c98e98.JPG,87b1721bd2ab3c1af4199fdb97af983324c98e98.JPG,22.690767306,114.196380639,3,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/ecab4e13109965d96a281cc582bb92dcf0ee5be6.JPG,ecab4e13109965d96a281cc582bb92dcf0ee5be6.JPG,22.694326417,114.196164889,4,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/4adaea71384ff29ccc6ca5c08e59870b592cce28.JPG,4adaea71384ff29ccc6ca5c08e59870b592cce28.JPG,22.692312778,114.198135056,9,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/90b54a8db143c74b388162f56b41ca791e7e4100.JPG,90b54a8db143c74b388162f56b41ca791e7e4100.JPG,22.691459556,114.199377528,6,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/0fe2542b403a8ab22e56ccac779e0aef248326de.JPG,0fe2542b403a8ab22e56ccac779e0aef248326de.JPG,22.690352556,114.195025389,5,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/637c64f4f5f4dce9ba65626bfc838d9b3f87280b.JPG,637c64f4f5f4dce9ba65626bfc838d9b3f87280b.JPG,22.692312111,114.201526194,6,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/06c6839786fd9e81bfadd2383ac7847390fba290.JPG,06c6839786fd9e81bfadd2383ac7847390fba290.JPG,22.692037389,114.196950639,3,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/89ed36488147b4c115f0b998dbc5f9dd76a5b780.JPG,89ed36488147b4c115f0b998dbc5f9dd76a5b780.JPG,22.693494056,114.194983167,0,train
/home/data1/szq/Megadepth/Aerial_lifting_early/dji/process_lidar_mesh_szq/raw_pics/ed/pupper/images/survey/4eac8deca83e7131bb9af77c48d3d1b109ffef25.JPG,4eac8deca83e7131bb9af77c48d3d1b109ffef25.JPG,22.690827222,114.197671361,9,train
